     93 T=  1241. E= -.22947545E+03 F= -.23412763E+03 E0= -.23403041E+03  EK= 0.46522E+01 SP= 0.00E+00 SK= 0.00E+00
     94 T=  1138. E= -.22946357E+03 F= -.23372841E+03 E0= -.23363096E+03  EK= 0.42648E+01 SP= 0.00E+00 SK= 0.00E+00
     95 T=  1092. E= -.22945499E+03 F= -.23354808E+03 E0= -.23345063E+03  EK= 0.40931E+01 SP= 0.00E+00 SK= 0.00E+00
     96 T=  1134. E= -.22945876E+03 F= -.23371144E+03 E0= -.23361386E+03  EK= 0.42527E+01 SP= 0.00E+00 SK= 0.00E+00
     97 T=  1253. E= -.22947116E+03 F= -.23416789E+03 E0= -.23407018E+03  EK= 0.46967E+01 SP= 0.00E+00 SK= 0.00E+00
     98 T=  1401. E= -.22948186E+03 F= -.23473403E+03 E0= -.23463633E+03  EK= 0.52522E+01 SP= 0.00E+00 SK= 0.00E+00
     99 T=  1533. E= -.22948758E+03 F= -.23523505E+03 E0= -.23513714E+03  EK= 0.57475E+01 SP= 0.00E+00 SK= 0.00E+00
    100 T=  1625. E= -.22948889E+03 F= -.23558172E+03 E0= -.23548366E+03  EK= 0.60928E+01 SP= 0.00E+00 SK= 0.00E+00
    101 T=  1674. E= -.22948629E+03 F= -.23576208E+03 E0= -.23566386E+03  EK= 0.62758E+01 SP= 0.00E+00 SK= 0.00E+00
    102 T=  1687. E= -.22948284E+03 F= -.23580666E+03 E0= -.23570831E+03  EK= 0.63238E+01 SP= 0.00E+00 SK= 0.00E+00
    103 T=  1675. E= -.22948108E+03 F= -.23575930E+03 E0= -.23566021E+03  EK= 0.62782E+01 SP= 0.00E+00 SK= 0.00E+00
    104 T=  1649. E= -.22947722E+03 F= -.23565838E+03 E0= -.23556018E+03  EK= 0.61812E+01 SP= 0.00E+00 SK= 0.00E+00
    105 T=  1619. E= -.22947536E+03 F= -.23554488E+03 E0= -.23544699E+03  EK= 0.60695E+01 SP= 0.00E+00 SK= 0.00E+00
    106 T=  1593. E= -.22947301E+03 F= -.23544505E+03 E0= -.23534736E+03  EK= 0.59720E+01 SP= 0.00E+00 SK= 0.00E+00
    107 T=  1577. E= -.22947144E+03 F= -.23538199E+03 E0= -.23528493E+03  EK= 0.59105E+01 SP= 0.00E+00 SK= 0.00E+00
    108 T=  1574. E= -.22947266E+03 F= -.23537187E+03 E0= -.23527547E+03  EK= 0.58992E+01 SP= 0.00E+00 SK= 0.00E+00
    109 T=  1586. E= -.22947253E+03 F= -.23541766E+03 E0= -.23532209E+03  EK= 0.59451E+01 SP= 0.00E+00 SK= 0.00E+00
    110 T=  1614. E= -.22947052E+03 F= -.23551911E+03 E0= -.23542444E+03  EK= 0.60486E+01 SP= 0.00E+00 SK= 0.00E+00
    111 T=  1653. E= -.22947485E+03 F= -.23567212E+03 E0= -.23557854E+03  EK= 0.61973E+01 SP= 0.00E+00 SK= 0.00E+00
    112 T=  1696. E= -.22947561E+03 F= -.23583503E+03 E0= -.23574248E+03  EK= 0.63594E+01 SP= 0.00E+00 SK= 0.00E+00
    113 T=  1727. E= -.22948558E+03 F= -.23595941E+03 E0= -.23586782E+03  EK= 0.64738E+01 SP= 0.00E+00 SK= 0.00E+00
    114 T=  1721. E= -.22949259E+03 F= -.23594236E+03 E0= -.23585170E+03  EK= 0.64498E+01 SP= 0.00E+00 SK= 0.00E+00
    115 T=  1659. E= -.22948978E+03 F= -.23570734E+03 E0= -.23561771E+03  EK= 0.62176E+01 SP= 0.00E+00 SK= 0.00E+00
    116 T=  1559. E= -.22947117E+03 F= -.23531510E+03 E0= -.23522670E+03  EK= 0.58439E+01 SP= 0.00E+00 SK= 0.00E+00
    117 T=  1488. E= -.22945565E+03 F= -.23503420E+03 E0= -.23494769E+03  EK= 0.55785E+01 SP= 0.00E+00 SK= 0.00E+00
    118 T=  1496. E= -.22946688E+03 F= -.23507495E+03 E0= -.23499007E+03  EK= 0.56081E+01 SP= 0.00E+00 SK= 0.00E+00
    119 T=  1546. E= -.22948828E+03 F= -.23528406E+03 E0= -.23520090E+03  EK= 0.57958E+01 SP= 0.00E+00 SK= 0.00E+00
    120 T=  1564. E= -.22949460E+03 F= -.23535831E+03 E0= -.23527630E+03  EK= 0.58637E+01 SP= 0.00E+00 SK= 0.00E+00
    121 T=  1520. E= -.22948830E+03 F= -.23518522E+03 E0= -.23510476E+03  EK= 0.56969E+01 SP= 0.00E+00 SK= 0.00E+00
    122 T=  1429. E= -.22948053E+03 F= -.23483680E+03 E0= -.23475757E+03  EK= 0.53563E+01 SP= 0.00E+00 SK= 0.00E+00
    123 T=  1320. E= -.22947517E+03 F= -.23442406E+03 E0= -.23434559E+03  EK= 0.49489E+01 SP= 0.00E+00 SK= 0.00E+00
    124 T=  1216. E= -.22947155E+03 F= -.23402938E+03 E0= -.23395239E+03  EK= 0.45578E+01 SP= 0.00E+00 SK= 0.00E+00
    125 T=  1129. E= -.22946909E+03 F= -.23370252E+03 E0= -.23362652E+03  EK= 0.42334E+01 SP= 0.00E+00 SK= 0.00E+00
    126 T=  1068. E= -.22946764E+03 F= -.23347100E+03 E0= -.23339617E+03  EK= 0.40034E+01 SP= 0.00E+00 SK= 0.00E+00
    127 T=  1036. E= -.22946681E+03 F= -.23334959E+03 E0= -.23327577E+03  EK= 0.38828E+01 SP= 0.00E+00 SK= 0.00E+00
    128 T=  1035. E= -.22946597E+03 F= -.23334487E+03 E0= -.23327194E+03  EK= 0.38789E+01 SP= 0.00E+00 SK= 0.00E+00
    129 T=  1064. E= -.22946699E+03 F= -.23345608E+03 E0= -.23338392E+03  EK= 0.39891E+01 SP= 0.00E+00 SK= 0.00E+00
    130 T=  1118. E= -.22947029E+03 F= -.23366203E+03 E0= -.23359054E+03  EK= 0.41917E+01 SP= 0.00E+00 SK= 0.00E+00
    131 T=  1181. E= -.22947780E+03 F= -.23390375E+03 E0= -.23383299E+03  EK= 0.44260E+01 SP= 0.00E+00 SK= 0.00E+00
    132 T=  1219. E= -.22948899E+03 F= -.23405980E+03 E0= -.23398975E+03  EK= 0.45708E+01 SP= 0.00E+00 SK= 0.00E+00
    133 T=  1193. E= -.22949527E+03 F= -.23396627E+03 E0= -.23389695E+03  EK= 0.44710E+01 SP= 0.00E+00 SK= 0.00E+00
    134 T=  1093. E= -.22947588E+03 F= -.23357303E+03 E0= -.23350442E+03  EK= 0.40972E+01 SP= 0.00E+00 SK= 0.00E+00
    135 T=   998. E= -.22944556E+03 F= -.23318711E+03 E0= -.23311880E+03  EK= 0.37415E+01 SP= 0.00E+00 SK= 0.00E+00
    136 T=  1008. E= -.22945353E+03 F= -.23323161E+03 E0= -.23316333E+03  EK= 0.37781E+01 SP= 0.00E+00 SK= 0.00E+00
    137 T=  1097. E= -.22948738E+03 F= -.23359980E+03 E0= -.23353167E+03  EK= 0.41124E+01 SP= 0.00E+00 SK= 0.00E+00
    138 T=  1154. E= -.22949780E+03 F= -.23382220E+03 E0= -.23375422E+03  EK= 0.43244E+01 SP= 0.00E+00 SK= 0.00E+00
    139 T=  1127. E= -.22948696E+03 F= -.23371259E+03 E0= -.23364471E+03  EK= 0.42256E+01 SP= 0.00E+00 SK= 0.00E+00
    140 T=  1046. E= -.22947428E+03 F= -.23339500E+03 E0= -.23332697E+03  EK= 0.39207E+01 SP= 0.00E+00 SK= 0.00E+00
    141 T=   955. E= -.22946681E+03 F= -.23304659E+03 E0= -.23297811E+03  EK= 0.35798E+01 SP= 0.00E+00 SK= 0.00E+00
    142 T=   886. E= -.22946246E+03 F= -.23278396E+03 E0= -.23271554E+03  EK= 0.33215E+01 SP= 0.00E+00 SK= 0.00E+00
    143 T=   856. E= -.22946062E+03 F= -.23266923E+03 E0= -.23260038E+03  EK= 0.32086E+01 SP= 0.00E+00 SK= 0.00E+00
    144 T=   872. E= -.22946048E+03 F= -.23272933E+03 E0= -.23266035E+03  EK= 0.32688E+01 SP= 0.00E+00 SK= 0.00E+00
    145 T=   935. E= -.22946041E+03 F= -.23296679E+03 E0= -.23289765E+03  EK= 0.35064E+01 SP= 0.00E+00 SK= 0.00E+00
    146 T=  1040. E= -.22946378E+03 F= -.23336261E+03 E0= -.23329335E+03  EK= 0.38988E+01 SP= 0.00E+00 SK= 0.00E+00
    147 T=  1168. E= -.22947324E+03 F= -.23385218E+03 E0= -.23378263E+03  EK= 0.43789E+01 SP= 0.00E+00 SK= 0.00E+00
    148 T=  1282. E= -.22948881E+03 F= -.23429303E+03 E0= -.23422390E+03  EK= 0.48042E+01 SP= 0.00E+00 SK= 0.00E+00
    149 T=  1325. E= -.22950059E+03 F= -.23446871E+03 E0= -.23439937E+03  EK= 0.49681E+01 SP= 0.00E+00 SK= 0.00E+00
    150 T=  1273. E= -.22948301E+03 F= -.23425615E+03 E0= -.23418641E+03  EK= 0.47731E+01 SP= 0.00E+00 SK= 0.00E+00
    151 T=  1205. E= -.22944178E+03 F= -.23395750E+03 E0= -.23388747E+03  EK= 0.45157E+01 SP= 0.00E+00 SK= 0.00E+00
    152 T=  1250. E= -.22944510E+03 F= -.23413211E+03 E0= -.23406212E+03  EK= 0.46870E+01 SP= 0.00E+00 SK= 0.00E+00
    153 T=  1399. E= -.22948665E+03 F= -.23473157E+03 E0= -.23466054E+03  EK= 0.52449E+01 SP= 0.00E+00 SK= 0.00E+00
    154 T=  1516. E= -.22950047E+03 F= -.23518166E+03 E0= -.23510985E+03  EK= 0.56812E+01 SP= 0.00E+00 SK= 0.00E+00
    155 T=  1533. E= -.22948705E+03 F= -.23523293E+03 E0= -.23515991E+03  EK= 0.57459E+01 SP= 0.00E+00 SK= 0.00E+00
    156 T=  1483. E= -.22947174E+03 F= -.23503259E+03 E0= -.23495907E+03  EK= 0.55609E+01 SP= 0.00E+00 SK= 0.00E+00
    157 T=  1421. E= -.22946338E+03 F= -.23479085E+03 E0= -.23471600E+03  EK= 0.53275E+01 SP= 0.00E+00 SK= 0.00E+00
    158 T=  1382. E= -.22945905E+03 F= -.23463841E+03 E0= -.23456268E+03  EK= 0.51794E+01 SP= 0.00E+00 SK= 0.00E+00
    159 T=  1382. E= -.22945684E+03 F= -.23463794E+03 E0= -.23456151E+03  EK= 0.51811E+01 SP= 0.00E+00 SK= 0.00E+00
    160 T=  1429. E= -.22945633E+03 F= -.23481169E+03 E0= -.23473430E+03  EK= 0.53554E+01 SP= 0.00E+00 SK= 0.00E+00
    161 T=  1520. E= -.22945828E+03 F= -.23515649E+03 E0= -.23507822E+03  EK= 0.56982E+01 SP= 0.00E+00 SK= 0.00E+00
    162 T=  1647. E= -.22946353E+03 F= -.23563871E+03 E0= -.23556001E+03  EK= 0.61752E+01 SP= 0.00E+00 SK= 0.00E+00
    163 T=  1788. E= -.22947332E+03 F= -.23617401E+03 E0= -.23609466E+03  EK= 0.67007E+01 SP= 0.00E+00 SK= 0.00E+00
    164 T=  1897. E= -.22949003E+03 F= -.23660086E+03 E0= -.23652108E+03  EK= 0.71108E+01 SP= 0.00E+00 SK= 0.00E+00
    165 T=  1920. E= -.22949880E+03 F= -.23669760E+03 E0= -.23661721E+03  EK= 0.71988E+01 SP= 0.00E+00 SK= 0.00E+00
    166 T=  1850. E= -.22947219E+03 F= -.23640819E+03 E0= -.23632697E+03  EK= 0.69360E+01 SP= 0.00E+00 SK= 0.00E+00
    167 T=  1792. E= -.22943427E+03 F= -.23615076E+03 E0= -.23606883E+03  EK= 0.67165E+01 SP= 0.00E+00 SK= 0.00E+00
    168 T=  1860. E= -.22945138E+03 F= -.23642267E+03 E0= -.23633993E+03  EK= 0.69713E+01 SP= 0.00E+00 SK= 0.00E+00
    169 T=  2000. E= -.22949153E+03 F= -.23698828E+03 E0= -.23690430E+03  EK= 0.74968E+01 SP= 0.00E+00 SK= 0.00E+00
    170 T=  2077. E= -.22949707E+03 F= -.23728324E+03 E0= -.23719831E+03  EK= 0.77862E+01 SP= 0.00E+00 SK= 0.00E+00
    171 T=  2053. E= -.22948123E+03 F= -.23717676E+03 E0= -.23709067E+03  EK= 0.76955E+01 SP= 0.00E+00 SK= 0.00E+00
    172 T=  1973. E= -.22946739E+03 F= -.23686438E+03 E0= -.23677737E+03  EK= 0.73970E+01 SP= 0.00E+00 SK= 0.00E+00
    173 T=  1891. E= -.22945915E+03 F= -.23654794E+03 E0= -.23646001E+03  EK= 0.70888E+01 SP= 0.00E+00 SK= 0.00E+00
    174 T=  1838. E= -.22945401E+03 F= -.23634521E+03 E0= -.23625642E+03  EK= 0.68912E+01 SP= 0.00E+00 SK= 0.00E+00
    175 T=  1830. E= -.22945312E+03 F= -.23631317E+03 E0= -.23622384E+03  EK= 0.68600E+01 SP= 0.00E+00 SK= 0.00E+00
    176 T=  1871. E= -.22945453E+03 F= -.23646697E+03 E0= -.23637698E+03  EK= 0.70124E+01 SP= 0.00E+00 SK= 0.00E+00
