     53 T= 12228. E= -.14014786E+03 F= -.18598350E+03 E0= -.18586208E+03  EK= 0.45836E+02 SP= 0.00E+00 SK= 0.00E+00
     54 T= 11816. E= -.14006561E+03 F= -.18435721E+03 E0= -.18423528E+03  EK= 0.44292E+02 SP= 0.00E+00 SK= 0.00E+00
     55 T= 11403. E= -.14027307E+03 F= -.18301834E+03 E0= -.18289710E+03  EK= 0.42745E+02 SP= 0.00E+00 SK= 0.00E+00
     56 T= 10833. E= -.14042527E+03 F= -.18103510E+03 E0= -.18091962E+03  EK= 0.40610E+02 SP= 0.00E+00 SK= 0.00E+00
     57 T= 10003. E= -.14031740E+03 F= -.17781336E+03 E0= -.17769639E+03  EK= 0.37496E+02 SP= 0.00E+00 SK= 0.00E+00
     58 T=  9084. E= -.14033943E+03 F= -.17439245E+03 E0= -.17427515E+03  EK= 0.34053E+02 SP= 0.00E+00 SK= 0.00E+00
     59 T=  8148. E= -.14035775E+03 F= -.17090205E+03 E0= -.17078505E+03  EK= 0.30544E+02 SP= 0.00E+00 SK= 0.00E+00
     60 T=  7260. E= -.14037830E+03 F= -.16759272E+03 E0= -.16747630E+03  EK= 0.27214E+02 SP= 0.00E+00 SK= 0.00E+00
     61 T=  6518. E= -.14036066E+03 F= -.16479450E+03 E0= -.16467733E+03  EK= 0.24434E+02 SP= 0.00E+00 SK= 0.00E+00
     62 T=  6027. E= -.14032416E+03 F= -.16291778E+03 E0= -.16279972E+03  EK= 0.22594E+02 SP= 0.00E+00 SK= 0.00E+00
     63 T=  5865. E= -.14037429E+03 F= -.16235804E+03 E0= -.16223895E+03  EK= 0.21984E+02 SP= 0.00E+00 SK= 0.00E+00
     64 T=  6068. E= -.14051087E+03 F= -.16325804E+03 E0= -.16313864E+03  EK= 0.22747E+02 SP= 0.00E+00 SK= 0.00E+00
     65 T=  6635. E= -.14064213E+03 F= -.16551276E+03 E0= -.16539337E+03  EK= 0.24871E+02 SP= 0.00E+00 SK= 0.00E+00
     66 T=  7503. E= -.14107556E+03 F= -.16920198E+03 E0= -.16908269E+03  EK= 0.28126E+02 SP= 0.00E+00 SK= 0.00E+00
     67 T=  8563. E= -.14123684E+03 F= -.17333397E+03 E0= -.17321523E+03  EK= 0.32097E+02 SP= 0.00E+00 SK= 0.00E+00
     68 T=  9664. E= -.14146222E+03 F= -.17768768E+03 E0= -.17757053E+03  EK= 0.36225E+02 SP= 0.00E+00 SK= 0.00E+00
